Reviews,Stars
"This place has to be my go to medical facility within the VA.  Their staff are not only courteous and polite but very respectful of individuals.  Parking is easy to find thanks to the parking garage and crossing the street is a cinsh with the polite cross guards.  Although they are undergoing construction the place is still very well kept and if you ever get lost there is always a friendly smile there to point you back on track.   I came here two times for treatment in the past and would recommend anyone facing difficulty at the mission valley clinic to come here, at least here they don't have those lousy metal detectors.",positive
"I have NEVER been disappointed in my care at ANY of the VA medical facilities. This includes open heart surgery and ongoing treatment for COPD, and BP, diabetes and the usual aches and pains.
Dr Barry in pulmonary is OUTSTANDING and the cardiac department (I have AFIB) is top notch (nurse Stephanie and crew are great).
If you have a problem with the VA, first look in the mirror. I think you might find the problem looking back at you.",positive
"It took me nearly 15years to see a doctor at the VA. Now that I am in the system I wish I would had done it 15years ago. While there is some expected confusion with doctors and specialists, the over all service is excellent-! You are treated as a person and not a number. They automatically extend you other services that may apply to you without having to specifically request. From the initial in-processing to receiving services is well within a week. Live further than reasonable driving distance? They will find an 'out of provider' close to your home to reduce the stress of driving; as well as provides a shuttle service for those with limited transportation.",positive
Most people just complain just to complain. I've waited for hours a few times at urgent care/ER but I always get seen and taken care of. I've also had surgeries here. People are nice and I like hearing stories from other veterans while waiting.,positive
"My dad is a Vet. He has been coming to the VA hospital to get treatment for his medical condition. All of the doctors and nurses and staff that has worked with our family has been wonderful we are so happy of the service our family is receiving here,  thank you very much.",positive
"This San Diego facility is the best. Ups and downs over the past 35+ years, but I'm always treated with respect. Thank you VA!",positive
"When I was laid up in this hospital a few times, they took such great care of me. This is The BEST hospital in San Diego for veterans.",positive
"had the varicose vein in my left leg ""stripped"" here back in 3/2003. Was lucky enough to stay at a friend's house who lived near the hospital. This was the first time I had ever spent even one night in a hospital. The entire staff here at the LA JOLLA V.A. HOSPITAL treated me so nice. I have been to much fancier hospitals but none have come close to the kindness and efficiency of this V.A. hospital staff.",positive
"Dr. B at in the ER is great! His staff is awesome as well. My questions are always answered, they are professional, and I feel as though my wait was worth it.",positive
Fantastic service. Always in and out of this place with the top service. Never had any issues and even with last minute appointments they alway for me In. Love it here. If you bitch and complain a lot then there is a reason you put 3 stars or below. Be patient and planned and it will be a smooth experience here. Good job guys and girls.,positive
"This 5 star review is for Dr. Botte in Orthopedics and Mike and Mark in the cast room.  As for the rest of you vets and people for vets who have had bad experiences,  I AM WITH YOU.  I wish the leadership of the facility would have a sit down with us and ask us what really goes on in this place when the higher ups aren't around.  They always tell you, patient advocate, patient advocate, patient advocate.  Really, please.  I'm 38, retired USMC infantry and was one of those vets left and forgotten about in a VA facility before.  I have many stories, so I say again.  I AM WITH YOU.  
  
  I have had two surgeries, and possibly need more,  with DR. Botte and both times I have dealt with Mike and Mark in the cast room.  I in fact waited about ten years to start my needed surgeries because I could not find a VA orthopedic surgeon that I felt comfortable with.  Despite all the craziness that goes on with the facility, these individuals have really gone out of their way to help me and reassure me with every visit.  Some people waste air and fill voids, but not these people.  I really believe that these individuals really want to be there and help us.  Thank you Mark and Mike for always letting me vent and express my concerns as a patient in pain.  Real professionals don't always tell you what you want to hear, and are not always supposed to agree with you.   By the way, to other Dr's, please spend more time with Mike and Mark discussing each patents needs.  I have seen them have to recast patients because the cast wasn't high enough, low enough, or at a certain perfect or imperfect angle.  NOT due to Mike or Marks incorrect casting.  Dr. Botte really takes his time, despite his facility demands.  I watch other DR's move too quickly in and out of the cast room.  We are not fast food, we are patients.  Medical CARE means CARE.  

   Thank you again to DR. Botte and MIke and Mark in the cast room.  You are part of a few individuals that I would gladly stand the watch with.  Good luck and Semper Fi.",positive
Great service! Much better experience than another California location a few years back.,positive
"Our family has had the BEST experience here obtaining care for my Dad. Everyone, from the janitorial staff, valet, pharmacy, primary care, RN's, doctors, diabetes educators, MRI, surgical staff, etc. has been so kind and helpful! I appreciate their thoroughness and follow-thru. GREAT JOB to you all and KEEP UP THE GOOD WORK!! :)",positive
